Language1,Language2,Proficiency,LanguageEmbeddingDistance,AvgNounDistance,AvgJaccardDistance
TH # Thai,ZH # Mandarin,B1,0.0043620467,0.04166849,0.30220795907070414
TR # Turkish,UR # Urdu,B1,0.0033578873,0.029691326,0.2397186147186147
TR # Turkish,VI # Vietnamese,B1,0.0021343827,0.030340532,0.2495282495282495
TR # Turkish,ZH # Mandarin,B1,0.0018747449,0.02887163,0.25692825692825694
UR # Urdu,VI # Vietnamese,B1,0.0023328066,0.030219913,0.257527195027195
UR # Urdu,ZH # Mandarin,B1,0.0012764335,0.023924472,0.2339165464165464
VI # Vietnamese,ZH # Mandarin,B1,0.0014490485,0.024331646,0.23755642505642507
AR # Arabic,BN # Bengali,B2,0.00082451105,0.024265518,0.21834415584415584
AR # Arabic,DE # German,B2,0.0023372173,0.03025969,0.2781778406778407
AR # Arabic,ES # Spanish,B2,0.0013411641,0.025811017,0.2412795537795538
AR # Arabic,FA # Persian,B2,0.0008891225,0.023760675,0.22136960261960262
AR # Arabic,FR # French,B2,0.002841115,0.03670929,0.28880301796968466
AR # Arabic,GA # Irish,B2,0.0034338236,0.04131786,0.3484154734154734
AR # Arabic,HE # Hebrew,B2,0.0026913285,0.03974127,0.3102918323506559
AR # Arabic,HI # Hindi,B2,0.0024347901,0.03526023,0.29661195286195285
AR # Arabic,IT # Italian,B2,0.0025081635,0.03788021,0.2882664607542058
AR # Arabic,JA # Japanese,B2,0.0014560223,0.026188204,0.24862637362637363
AR # Arabic,KO # Korean,B2,0.0016539097,0.030279726,0.2728243978243978
AR # Arabic,LV # Latvian,B2,0.0014569759,0.026717417,0.23647417397417397
AR # Arabic,PL # Polish,B2,0.0009624362,0.023278845,0.21979698542198542
AR # Arabic,PS # Pashto,B2,0.0009511113,0.022626916,0.21685490435490434
AR # Arabic,PT # Portuguese,B2,0.0014292598,0.030493192,0.2807030932030932
AR # Arabic,RU # Russian,B2,0.001484096,0.028905114,0.24892063954563953
AR # Arabic,SQ # Albanian,B2,0.0009956956,0.02284122,0.2179047804047804
AR # Arabic,SW # Swahili,B2,0.001405716,0.025529709,0.2224904724904725
AR # Arabic,TH # Thai,B2,0.0012641549,0.025523389,0.23356042106042108
AR # Arabic,TR # Turkish,B2,0.0013765693,0.024942515,0.2358104858104858
AR # Arabic,UR # Urdu,B2,0.001292944,0.026611663,0.25214831464831466
AR # Arabic,VI # Vietnamese,B2,0.0010043383,0.02529534,0.24395280645280643
